Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
SW_UCB,ECIA_NoMem_NoEmo,0.5513868847742448,0.7550616261467851,-0.20367474137254027,1.3167261743932519e-39,-110.36356544718859,1.1982208186978593e-37,True,True
SW_UCB,ECIA_NoAll,0.5513868847742448,0.7166170298586985,-0.16523014508445366,3.9622159095210296e-38,-92.52845556181722,3.605616477664137e-36,True,True
Adaptive_TS,Naive_EpsilonGreedy,0.5245502769681928,0.42114073748335645,0.10340953948483633,4.5254334199811e-20,20.440250011265103,4.118144412182801e-18,True,True
Adaptive_TS,Naive_UCB,0.5245502769681928,0.6740627445137636,-0.1495124675455708,1.1874796962741834e-30,-42.263149594328986,1.080606523609507e-28,True,True
Adaptive_TS,Naive_TS,0.5245502769681928,0.4809830176422349,0.0435672593259579,4.565337384963218e-19,13.74011340961641,4.154457020316528e-17,True,True
Adaptive_TS,ECIA_Full,0.5245502769681928,0.761751828970033,-0.23720155200184023,7.772730716436448e-31,-81.10622522359309,7.073184951957167e-29,True,True
Adaptive_TS,ECIA_NoEmotion,0.5245502769681928,0.7588914423366441,-0.2343411653684513,4.7809754977312415e-31,-79.65814178594923,4.35068770293543e-29,True,True
Adaptive_TS,ECIA_NoMemory,0.5245502769681928,0.7611611150879264,-0.2366108381197336,3.965175461132319e-29,-83.36456596735248,3.60830966963041e-27,True,True
Adaptive_TS,ECIA_NoDopamine,0.5245502769681928,0.7235737257600169,-0.1990234487918241,9.81317060961127e-33,-62.24617920593573,8.929985254746256e-31,True,True
Adaptive_TS,ECIA_NoDop_NoMem,0.5245502769681928,0.7248026376102857,-0.20025236064209295,9.090121287930921e-30,-68.14232934640992,8.272010372017139e-28,True,True
Adaptive_TS,ECIA_NoDop_NoEmo,0.5245502769681928,0.7140793287328572,-0.1895290517646644,7.771568511466393e-33,-57.32756923741633,7.072127345434418e-31,True,True
Adaptive_TS,ECIA_NoMem_NoEmo,0.5245502769681928,0.7550616261467851,-0.23051134917859228,1.7595794755068943e-29,-80.4665260398747,1.6012173227112739e-27,True,True
Adaptive_TS,ECIA_NoAll,0.5245502769681928,0.7166170298586985,-0.19206675289050568,2.0849990498523435e-27,-67.95087320973917,1.8973491353656325e-25,True,True
Naive_EpsilonGreedy,Naive_UCB,0.42114073748335645,0.6740627445137636,-0.2529220070304071,1.1261612223801688e-26,-50.209200863267746,1.0248067123659536e-24,True,True
Naive_EpsilonGreedy,Naive_TS,0.42114073748335645,0.4809830176422349,-0.059842280158878436,1.0478023315038462e-14,-12.50135875818985,9.535001216685e-13,True,True
Naive_EpsilonGreedy,ECIA_Full,0.42114073748335645,0.761751828970033,-0.34061109148667656,6.33522661583752e-24,-73.606831581818,5.765056220412143e-22,True,True
Naive_EpsilonGreedy,ECIA_NoEmotion,0.42114073748335645,0.7588914423366441,-0.3377507048532876,5.033388805120771e-24,-72.81676949251509,4.580383812659902e-22,True,True
Naive_EpsilonGreedy,ECIA_NoMemory,0.42114073748335645,0.7611611150879264,-0.34002037760456993,3.6329449080288436e-23,-74.34776102882051,3.3059798663062475e-21,True,True
Naive_EpsilonGreedy,ECIA_NoDopamine,0.42114073748335645,0.7235737257600169,-0.30243298827666043,1.801771163418143e-25,-62.94797149838267,1.6396117587105103e-23,True,True
Naive_EpsilonGreedy,ECIA_NoDop_NoMem,0.42114073748335645,0.7248026376102857,-0.3036619001269293,2.264213592639036e-23,-65.49519890447408,2.0604343693015225e-21,True,True
Naive_EpsilonGreedy,ECIA_NoDop_NoEmo,0.42114073748335645,0.7140793287328572,-0.2929385912495007,4.174204583272589e-26,-60.05900410140472,3.798526170778056e-24,True,True
Naive_EpsilonGreedy,ECIA_NoMem_NoEmo,0.42114073748335645,0.7550616261467851,-0.3339208886634286,2.71693532714985e-23,-72.75249204235344,2.4724111477063634e-21,True,True
Naive_EpsilonGreedy,ECIA_NoAll,0.42114073748335645,0.7166170298586985,-0.295476292375342,2.783278994401528e-22,-64.71061998020792,2.5327838849053908e-20,True,True
Naive_UCB,Naive_TS,0.6740627445137636,0.4809830176422349,0.1930797268715287,1.4048348438344744e-32,61.569000624820056,1.2783997078893716e-30,True,True
Naive_UCB,ECIA_Full,0.6740627445137636,0.761751828970033,-0.08768908445626944,1.822321119417709e-23,-30.375962166262646,1.6583122186701153e-21,True,True
Naive_UCB,ECIA_NoEmotion,0.6740627445137636,0.7588914423366441,-0.0848286978228805,2.084853634946686e-23,-29.208234592962206,1.8972168078014844e-21,True,True
Naive_UCB,ECIA_NoMemory,0.6740627445137636,0.7611611150879264,-0.08709837057416281,2.8454047342437436e-22,-31.114177516184142,2.5893183081618068e-20,True,True
Naive_UCB,ECIA_NoDopamine,0.6740627445137636,0.7235737257600169,-0.049510981246253305,1.8154748758916027e-20,-15.653993691534021,1.6520821370613584e-18,True,True
Naive_UCB,ECIA_NoDop_NoMem,0.6740627445137636,0.7248026376102857,-0.05073989309652216,2.3904908972353925e-19,-17.489674642287135,2.1753467164842072e-17,True,True
Naive_UCB,ECIA_NoDop_NoEmo,0.6740627445137636,0.7140793287328572,-0.0400165842190936,1.217327975785676e-18,-12.227419485037949,1.1077684579649651e-16,True,True
Naive_UCB,ECIA_NoMem_NoEmo,0.6740627445137636,0.7550616261467851,-0.08099888163302149,4.1475277539972584e-22,-28.66102392614707,3.7742502561375053e-20,True,True
Naive_UCB,ECIA_NoAll,0.6740627445137636,0.7166170298586985,-0.04255428534493488,5.039206875541951e-17,-15.266452412975854,4.5856782567431754e-15,True,True
Naive_TS,ECIA_Full,0.4809830176422349,0.761751828970033,-0.28076881132779813,3.5342429158722276e-38,-115.86019916274985,3.216161053443727e-36,True,True
Naive_TS,ECIA_NoEmotion,0.4809830176422349,0.7588914423366441,-0.2779084246944092,2.5020461171567394e-38,-113.70398364668434,2.2768619666126327e-36,True,True
Naive_TS,ECIA_NoMemory,0.4809830176422349,0.7611611150879264,-0.2801780974456915,1.9077078637317517e-36,-120.8475312904765,1.736014155995894e-34,True,True
Naive_TS,ECIA_NoDopamine,0.4809830176422349,0.7235737257600169,-0.242590708117782,1.1154664005121918e-37,-88.33148767603659,1.0150744244660945e-35,True,True
Naive_TS,ECIA_NoDop_NoMem,0.4809830176422349,0.7248026376102857,-0.24381961996805085,4.190743159688486e-37,-99.9093369593565,3.8135762753165223e-35,True,True
Naive_TS,ECIA_NoDop_NoEmo,0.4809830176422349,0.7140793287328572,-0.2330963110906223,1.5299547453331658e-36,-81.15602297790068,1.392258818253181e-34,True,True
Naive_TS,ECIA_NoMem_NoEmo,0.4809830176422349,0.7550616261467851,-0.2740786085045502,7.136397061791055e-37,-116.59384794528422,6.49412132622986e-35,True,True
Naive_TS,ECIA_NoAll,0.4809830176422349,0.7166170298586985,-0.23563401221646357,1.03968099067623e-34,-102.26777356621962,9.461097015153692e-33,True,True
ECIA_Full,ECIA_NoEmotion,0.761751828970033,0.7588914423366441,0.002860386633388945,0.004417302114782787,1.352468998407771,0.40197449244523364,False,True
ECIA_Full,ECIA_NoMemory,0.761751828970033,0.7611611150879264,0.0005907138821066305,0.48904918005326314,0.30010942039266786,1.0,False,False
ECIA_Full,ECIA_NoDopamine,0.761751828970033,0.7235737257600169,0.038178103210016134,4.522383856843701e-20,15.532299630902521,4.115369309727768e-18,True,True
ECIA_Full,ECIA_NoDop_NoMem,0.761751828970033,0.7248026376102857,0.03694919135974728,2.782724705560315e-22,17.506287177276576,2.5322794820598867e-20,True,True
ECIA_Full,ECIA_NoDop_NoEmo,0.761751828970033,0.7140793287328572,0.04767250023717584,7.41915788413865e-21,18.350960905305616,6.751433674566171e-19,True,True
ECIA_Full,ECIA_NoMem_NoEmo,0.761751828970033,0.7550616261467851,0.006690202823247948,9.033704797053982e-08,3.334701632009591,8.220671365319123e-06,True,True
ECIA_Full,ECIA_NoAll,0.761751828970033,0.7166170298586985,0.045134799111334556,1.618381688251944e-24,23.129440420633653,1.472727336309269e-22,True,True
ECIA_NoEmotion,ECIA_NoMemory,0.7588914423366441,0.7611611150879264,-0.0022696727512823145,0.01416313922883993,-1.1383203747317547,1.0,False,True
ECIA_NoEmotion,ECIA_NoDopamine,0.7588914423366441,0.7235737257600169,0.03531771657662719,1.8400235481407363e-19,14.249696164878399,1.67442142880807e-17,True,True
ECIA_NoEmotion,ECIA_NoDop_NoMem,0.7588914423366441,0.7248026376102857,0.034088804726358335,2.015532697032173e-21,15.970604533885904,1.8341347542992775e-19,True,True
ECIA_NoEmotion,ECIA_NoDop_NoEmo,0.7588914423366441,0.7140793287328572,0.044812113603786896,1.8671704730864482e-20,17.12194536424042,1.6991251305086678e-18,True,True
ECIA_NoEmotion,ECIA_NoMem_NoEmo,0.7588914423366441,0.7550616261467851,0.0038298161898590033,0.0002206336125622593,1.8853914612608824,0.020077658743165597,True,True
ECIA_NoEmotion,ECIA_NoAll,0.7588914423366441,0.7166170298586985,0.04227441247794561,1.1490846667465871e-23,21.38127882715345,1.0456670467393943e-21,True,True
ECIA_NoMemory,ECIA_NoDopamine,0.7611611150879264,0.7235737257600169,0.037587389327909504,2.5004741698825225e-19,15.963205838150836,2.2754314945930955e-17,True,True
ECIA_NoMemory,ECIA_NoDop_NoMem,0.7611611150879264,0.7248026376102857,0.03635847747764065,2.4238866454745075e-22,18.276989408716684,2.2057368473818017e-20,True,True
ECIA_NoMemory,ECIA_NoDop_NoEmo,0.7611611150879264,0.7140793287328572,0.04708178635506921,6.164651515148803e-20,18.830809288149705,5.6098328787854106e-18,True,True
ECIA_NoMemory,ECIA_NoMem_NoEmo,0.7611611150879264,0.7550616261467851,0.006099488941141318,1.3381375573205788e-07,3.2475427572113658,1.2177051771617267e-05,True,True
ECIA_NoMemory,ECIA_NoAll,0.7611611150879264,0.7166170298586985,0.044544085229227925,1.8678223944655104e-25,24.481581739214626,1.6997183789636145e-23,True,True
ECIA_NoDopamine,ECIA_NoDop_NoMem,0.7235737257600169,0.7248026376102857,-0.0012289118502688545,0.25749854993129984,-0.49656818230907696,1.0,False,False
ECIA_NoDopamine,ECIA_NoDop_NoEmo,0.7235737257600169,0.7140793287328572,0.009494397027159707,1.2252353885249648e-07,3.2722533202462203,1.114964203557718e-05,True,True
ECIA_NoDopamine,ECIA_NoMem_NoEmo,0.7235737257600169,0.7550616261467851,-0.031487900386768186,4.466905765798082e-18,-13.194690217622448,4.0648842468762544e-16,True,True
ECIA_NoDopamine,ECIA_NoAll,0.7235737257600169,0.7166170298586985,0.0069566959013184215,1.2659832844361446e-06,2.9723191224401893,0.00011520447888368916,True,True
ECIA_NoDop_NoMem,ECIA_NoDop_NoEmo,0.7248026376102857,0.7140793287328572,0.010723308877428561,6.721032056973367e-09,4.102654878768214,6.116139171845764e-07,True,True
ECIA_NoDop_NoMem,ECIA_NoMem_NoEmo,0.7248026376102857,0.7550616261467851,-0.03025898853649933,1.2552306779053165e-20,-14.929291752600351,1.1422599168938381e-18,True,True
ECIA_NoDop_NoMem,ECIA_NoAll,0.7248026376102857,0.7166170298586985,0.008185607751587276,2.5783670906007198e-09,4.149747828310457,2.346314052446655e-07,True,True
ECIA_NoDop_NoEmo,ECIA_NoMem_NoEmo,0.7140793287328572,0.7550616261467851,-0.04098229741392789,4.1365378899226297e-19,-16.197225297445446,3.764249479829593e-17,True,True
ECIA_NoDop_NoEmo,ECIA_NoAll,0.7140793287328572,0.7166170298586985,-0.002537701125841285,0.027857203712775898,-1.0204076797512134,1.0,False,True
ECIA_NoMem_NoEmo,ECIA_NoAll,0.7550616261467851,0.7166170298586985,0.03844459628808661,8.725753505401389e-24,20.66427285129801,7.940435689915264e-22,True,True
